Unnamed: 0,Model,Price,Generation,Core,Ram,SSD,Display,Graphics,CPU_Score,RAM_Score,GPU_Score,Storage_Score,Performance_Score,Hidden_Gem_Ratio
222,HONOR MAGICBOOK X14 PRO 2024 ‎LAPTOP (13TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11 HOME),59990.0,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB LPDDRx4 RAM,512 GB SSD,"14 inches, 1920 x 1200 pixels",Intel UHD Graphics,2.0,3.2,1.2,0.1,6.5,0.1084
223,LENOVO THINKPAD P14S 21K5S00700 LAPTOP (AMD RYZEN 7 PRO 7840U/ 32GB/ 512GB SSD/ WIN11 PRO),109990.0,7th Gen AMD Ryzen 7 7840U,"Octa Core, 16 Threads",32 GB LPDDR5X RAM,512 GB SSD,"14 inches, 1920 x 1200 pixels",AMD Radeon Integrated Graphics,6.8,6.4,1.2,0.1,14.5,0.1318
224,HP ENVY X360 14-FA0038AU LAPTOP (AMD RYZEN 5 8640HS/ 16GB/ 512GB SSD/ WIN11),86990.0,8th Gen AMD Ryzen 5 8640HS,"Hexa Core, 12 Threads",16 GB LPDDR5 RAM,512 GB SSD,"14 inches, 1920 x 1200 pixels, Touch Screen",AMD Radeon Graphics,7.6,3.2,1.2,0.1,12.1,0.1391
225,HP 15S-FQ5327TU LAPTOP (12TH GEN CORE I3/ 8GB/ 512GB SSD/ WIN11 HOME),37490.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,2.0,1.6,1.2,0.1,4.9,0.1307
226,MSI STEALTH 14 AI STUDIO A1VGG-054IN GAMING LAPTOP (INTEL CORE ULTRA 7 155H/ 32GB/ 1TB SSD/ WIN11 HOME/ 8GB GRAPH),229990.0,Intel Core Ultra 7 Series 1 155H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",32 GB DDR5 RAM,1 TB SSD,"15.6 inches, 2880 x 1800 pixels",8 GB NVIDIA GeForce RTX 4060,2.0,6.4,2.4,0.1,10.9,0.0474
227,MSI KATANA A15 AI B8VE-418IN GAMING LAPTOP (AMD RYZEN 7 8845HS/ 16GB/ 512GB SSD/ WIN11 /6GB GRAPH),104990.0,8th Gen AMD Ryzen 7 8845HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,"15.75 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 4050,7.6,3.2,1.8,0.1,12.7,0.121
228,MSI CYBORG 15 AI A1VEK-050IN GAMING LAPTOP (INTEL CORE ULTRA 7 155H/ 16GB/ 1TB SSD/ WIN11/ 6GB GRAPH),107990.0,Intel Core Ultra 7 Series 1 155H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 GB DDR5 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 4050,2.0,3.2,1.8,0.1,7.1,0.0657
229,MSI CYBORG 15 AI A1VEK-051IN GAMING LAPTOP (INTEL CORE ULTRA 5 125H/ 16GB/ 1TB SSD/ WIN11/ 6GB GRAPH),99990.0,Intel Core Ultra 5 Series 1 125H,"14 Cores (4P + 8E + 2LP-E), 18 Threads",16 GB DDR5 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 4050,2.0,3.2,1.8,0.1,7.1,0.071
230,MSI CYBORG 15 AI A1VFK-049IN GAMING LAPTOP (INTEL CORE ULTRA 7 155H/ 16GB/ 1TB SSD/ WIN11/ 8GB GRAPH),114990.0,Intel Core Ultra 7 Series 1 155H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 GB DDR5 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",8 GB NVIDIA GeForce RTX 4060,2.0,3.2,2.4,0.1,7.7,0.067
231,MSI RAIDER GE78 HX 14VHG-805IN GAMING LAPTOP (14TH GEN CORE I9/ 32GB/ 2TB SSD/ WIN11 HOME/ 12GB GRAPH),299990.0,14th Gen Intel Core i9 14900HX,"24 Cores (8P + 16E), 32 Threads",32 GB DDR5 RAM,2 TB SSD,"17 inches, 2560 x 1600 pixels",12 GB NVIDIA GeForce RTX 4080,2.0,6.4,4.68,0.1,13.18,0.0439
232,MSI COMMERCIAL 14 H A13MG VPRO-065IN LAPTOP (13TH GEN CORE I7/ 32GB/ 1TB SSD/WIN11),109990.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",32 GB DDR4 RAM,1 TB SSD,"14 inches, 1920 x 1200 pixels",Intel Integrated Iris Xe,2.0,6.4,1.2,0.1,9.7,0.0882
233,MSI THIN A15 AI B7UCX-068IN GAMING LAPTOP (AMD RYZEN 5 7535H/ 16GB/ 512GB SSD/ WIN11/ 4GB GRAPH),65990.0,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,6.8,3.2,1.2,0.1,11.3,0.1712
234,MSI THIN A15 AI B7UC-067IN GAMING LAPTOP (AMD RYZEN 5 7535H/ 16GB/ 512GB SSD/ WIN11/ 4GB GRAPH),71990.0,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050,6.8,3.2,1.44,0.1,11.54,0.1603
235,MSI THIN A15 AI B7VE-066IN GAMING LAPTOP (AMD RYZEN 5 7535H/ 16GB/ 512GB SSD/ WIN11/ 6GB GRAPH),81990.0,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 4050,6.8,3.2,1.8,0.1,11.9,0.1451
236,MSI THIN A15 AI B7VE-065IN GAMING LAPTOP (AMD RYZEN 7 7735H/ 16GB/ 1TB SSD/ WIN11/ 6GB GRAPH),91990.0,7th Gen AMD Ryzen 7 7735HS,"Octa Core, 16 Threads",16 GB DDR4 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 4050,6.8,3.2,1.8,0.1,11.9,0.1294
237,MSI STEALTH 16 AI STUDIO A1VGG-057IN GAMING LAPTOP (INTEL CORE ULTRA 9/ 32GB/ 2TB SSD/ WIN11/ 8GB GRAPH),249990.0,Intel Core Ultra 9 Series 1 185H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",32 GB DDR5 RAM,2 TB SSD,"16 inches, 2560 x 1600 pixels",8 GB NVIDIA GeForce RTX 4060,2.0,6.4,2.4,0.1,10.9,0.0436
238,MSI VECTOR 17 HX A14VHG-806IN GAMING LAPTOP (14TH GEN CORE I9/ 32GB/ 2TB SSD/ WIN11 HOME/ 12GB GRAPH),279990.0,14th Gen Intel Core i9 14900HX,"24 Cores (8P + 16E), 32 Threads",32 GB DDR5 RAM,2 TB SSD,"17 inches, 2560 x 1600 pixels",12 GB NVIDIA GeForce RTX 4080,2.0,6.4,4.68,0.1,13.18,0.0471
239,CHUWI HEROBOOK PLUS LAPTOP (INTEL CELERON N4020/ 8GB/ 256GB SSD/ WIN11),18990.0,Intel ‎Celeron N4020,"Dual Core, 2 Threads",8 GB DDR3 RAM,256 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel HD Graphics,4.0,1.6,1.2,0.1,6.9,0.3633
240,HP OMEN 16-WF0179TX GAMING LAPTOP (13TH GEN CORE I7/ 16GB/ 512GB SSD/ WIN11/ 6GB GRAPH),105990.0,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",16 GB DDR5 RAM,1 TB SSD,"16.1 inches, 2560 x 1440 pixels",6 GB NVIDIA GeForce RTX 3050,2.0,3.2,2.16,0.1,7.46,0.0704
241,INFINIX INBOOK X2 SLIM XL23 SERIES LAPTOP (11TH GEN CORE I5/ 8GB/ 512GB SSD/ WIN 11 HOME),32990.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",8 GB LPDDR4X RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",Intel Integrated Iris Xe,2.0,1.6,1.2,0.1,4.9,0.1485
242,ASUS VIVOBOOK S15 OLED S5504VA-MA951WS LAPTOP (13TH GEN CORE I9/ 16GB/ 1TB SSD/ WIN11),110709.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",16 GB LPDDR5 RAM,1 TB SSD,"15.6 inches, 2880 x 1620 pixels",Intel Iris Xe Graphics,2.0,3.2,1.2,0.1,6.5,0.0587
243,MSI MODERN 15 C13M-080IN LAPTOP (13TH GEN CORE I7/ 16GB/ 1TB SSD/ WIN11 HOME),69990.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated Iris Xe,2.0,3.2,1.2,0.1,6.5,0.0929
244,MSI MODERN 15 C13M-079IN LAPTOP (13TH GEN CORE I9/ 16GB/ 1TB SSD/ WIN11 HOME),79990.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated Iris Xe,2.0,3.2,1.2,0.1,6.5,0.0813
245,MSI MODERN 15 C13M-081IN LAPTOP (13TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11 HOME),59990.0,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated Iris Xe,2.0,3.2,1.2,0.1,6.5,0.1084
246,CHUWI GEMIBOOK PLUS CWI620 LAPTOP (INTEL CELERON N100/ 8GB/ 256GB SSD/ WIN11 HOME),21990.0,12th Gen Intel Celeron N100,"Quad Core, 4 Threads",8 GB LPDDR5 RAM,256 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated UHD Graphics,2.0,1.6,1.2,0.1,4.9,0.2228
247,HP PAVILION PLUS 14-EW0116TU LAPTOP (13TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN 11),70490.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR5x RAM,512 GB SSD,"14 inches, 1920 x 1200 pixels",Intel Iris Xe Graphics,2.0,3.2,1.2,0.1,6.5,0.0922
248,MSI COMMERCIAL 14 H A13MG-070IN LAPTOP (13TH GEN CORE I7/ 16 GB/ 1TB SSD/WIN11 HOME),97990.0,13th Gen Intel Core i7 13620H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR4 RAM,1 TB SSD,"14 inches, 1920 x 1200 pixels",Intel Integrated Iris Xe,2.0,3.2,1.2,0.1,6.5,0.0663
249,MSI STEALTH 16 AI STUDIO A1VFG-058IN GAMING LAPTOP (INTEL CORE ULTRA 7/ 32GB/ 1TB SSD/ WIN11 HOME/ 8GB GRAPH),199990.0,Intel Core Ultra 7 Series 1 155H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",32 GB DDR5 RAM,1 TB SSD,"16 inches, 2560 x 1600 pixels",8 GB NVIDIA GeForce RTX 4060,2.0,6.4,2.4,0.1,10.9,0.0545
250,MSI MODERN 14 D13MG-073IN LAPTOP (13TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11 HOME),58990.0,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"14 inches, 1920 x 1200 pixels",Intel Integrated Iris Xe,2.0,3.2,1.2,0.1,6.5,0.1102
251,MSI PRESTIGE 16 AI STUDIO B1VFG 2024 LAPTOP ( INTEL CORE ULTRA 9/ 32GB/ 1TB SSD/ WIN11/ 8GB GRAPHICS),189990.0,Intel Core Ultra 9 Series 1 185H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",32 GB LPDDR5 RAM,1 TB SSD,"16 inches, 2560 x 1600 pixels",8 GB NVIDIA GeForce RTX 4060,2.0,6.4,2.4,0.1,10.9,0.0574
252,LENOVO LOQ 15IRH8 82XV00LTIN 2023 GAMING LAPTOP (12TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11/ 4GB GRAPH),73882.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,2.0,3.2,1.2,0.1,6.5,0.088
253,LENOVO IDEAPAD SLIM 3 82H803W7IN LAPTOP (11TH GEN CORE I3/ 8GB/ 512GB SSD/ WIN11),35500.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,2.0,1.6,1.2,0.1,4.9,0.138
254,DELL INSPIRON 5620 ICC-C783534WIN8 LAPTOP (12TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11),64990.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,"16 inches, 1920 x 1080 pixels",Intel Integrated,2.0,3.2,1.2,0.1,6.5,0.1
255,MSI PRESTIGE 16 AI STUDIO B1VFG LAPTOP ( INTEL CORE ULTRA 7/ 32GB/ 1TB SSD/ WIN11/ 8GB GRAPHICS),169990.0,Intel Core Ultra 7 Series 1 155H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",32 GB LPDDR5 RAM,1 TB SSD,"16 inches, 2560 x 1600 pixels",8 GB NVIDIA GeForce RTX 4060,2.0,6.4,2.4,0.1,10.9,0.0641
256,MSI MODERN 14 D13MG-071IN LAPTOP (13TH GEN CORE I9/ 16GB/ 1TB SSD/ WIN11 HOME),78990.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,1 TB SSD,"14 inches, 1920 x 1200 pixels",Intel Integrated Iris Xe,2.0,3.2,1.2,0.1,6.5,0.0823
257,MSI MODERN 14 D13MG-072IN LAPTOP (13TH GEN CORE I7/ 16GB/ 1TB SSD/ WIN11 HOME),68990.0,13th Gen Intel Core i7 13620H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR4 RAM,1 TB SSD,"14 inches, 1920 x 1200 pixels",Intel Integrated Iris Xe,2.0,3.2,1.2,0.1,6.5,0.0942
258,MSI PRESTIGE 16 AI EVO  B1MG LAPTOP ( INTEL CORE ULTRA 7/ 16GB/ 1TB SSD/ WIN11),119990.0,Intel Core Ultra 7 Series 1 155H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 GB LPDDR5 RAM,1 TB SSD,"16 inches, 2561 x 1600 pixels",Intel Integrated Arc,2.0,3.2,1.2,0.1,6.5,0.0542
259,MSI PRESTIGE 13 AI EVO A1MG 2024 LAPTOP (INTEL CORE ULTRA 7/ 16GB/ 1TB SSD/ WIN11 HOME),114990.0,Intel Core Ultra 7 Series 1 155H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 GB LPDDR5 RAM,1 TB SSD,"13.3 inches, 2880 x 1800 pixels",Intel Arc Graphics,2.0,3.2,1.2,0.1,6.5,0.0565
260,MSI PRESTIGE 13 AI EVO A1MG LAPTOP (INTEL CORE ULTRA 5/ 16GB/ 1TB SSD/ WIN11 HOME),99990.0,Intel Core Ultra 5 Series 1 125H,"14 Cores (4P + 8E + 2LP-E), 18 Threads",16 GB LPDDR5 RAM,1 TB SSD,"13.3 inches, 2880 x 1800 pixels",Intel Arc Graphics,2.0,3.2,1.2,0.1,6.5,0.065
261,MSI PRESTIGE 16 AI STUDIO B1VEG LAPTOP ( INTEL CORE ULTRA 7/ 32GB/ 1TB SSD/ WIN11/ 6GB GRAPHICS),159990.0,Intel Core Ultra 7 Series 1 155H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",32 GB LPDDR5 RAM,1 TB SSD,"16 inches, 2560 x 1600 pixels",6 GB NVIDIA GeForce RTX 4050,2.0,6.4,1.8,0.1,10.3,0.0644
262,ASUS ROG STRIX SCAR 16 2024 G634JZR-CM932WS GAMING LAPTOP (14TH GEN CORE I9/ 32GB/ 2TB SSD/ WIN11 HOME/ 12GB GRAPH),289990.0,14th Gen Intel Core i9 14900HX,"24 Cores (8P + 16E), 32 Threads",32 GB DDR5 RAM,2 TB SSD,"16 inches, 2560 x 1600 pixels",12 GB NVIDIA GeForce RTX 4080,2.0,6.4,4.68,0.1,13.18,0.0454
263,ASUS TUF F17 FX706HF-NY040W GAMING LAPTOP (11TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11/ 4GB GRAPH),65990.0,11th Gen Intel Core i5 11400H,"Hexa Core, 12 Threads",16 GB DDR6 RAM,512 GB SSD,"17.3 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,2.0,3.2,1.2,0.1,6.5,0.0985
264,HP PAVILION 15-EH1147AU LAPTOP (AMD RYZEN 7 5700U/ 16GB/ 1TB SSD/ WIN11 HOME),60490.0,5th Gen AMD Ryzen 7 5700U,"Octa Core, 16 Threads",16 GB DDR4 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon Radeon,5.2,3.2,1.2,0.1,9.7,0.1604
265,ASUS ZENBOOK 14 OLED 2024 UX3405MA-PZ552WS LAPTOP (INTEL CORE ULTRA 5/ 16GB/ 1TB SSD/ WIN11 HOME),102900.0,Intel Core Ultra 5 Series 1 125H,"14 Cores (4P + 8E + 2LP-E), 18 Threads",16 GB LPDDR5X RAM,1 TB SSD,"14 inches, 2880 x 1800 pixels, Touch Screen",Intel Arc Graphics,2.0,3.2,1.2,0.1,6.5,0.0632
266,DELL VOSTRO 3530 LAPTOP (13TH GEN CORE I3/ 8GB/ 512GB SSD/ WIN11),39990.0,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated Graphics,2.0,1.6,1.2,0.1,4.9,0.1225
267,LENOVO THINKPAD E14 21JKS0UA00 LAPTOP (13TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11 HOME),73990.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"14 inches, 1920 x 1200 pixels",Intel UHD Graphics,2.0,3.2,1.2,0.1,6.5,0.0878
268,LENOVO THINKBOOK 15 21DJA0FGIH LAPTOP (12TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11 HOME),55990.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Iris Xe Graphics,2.0,3.2,1.2,0.1,6.5,0.1161
269,LENOVO IDEAPAD SLIM 5 14IMH9 83DA0043IN LAPTOP (INTEL CORE ULTRA 5/ 16 GB RAM/ 1TB SSD/ WIN 11),79990.0,Intel Core Ultra 5 Series 1 125H,"14 Cores (4P + 8E + 2LP-E), 18 Threads",16 GB LPDDR5 RAM,1 TB SSD,"14 inches, 1920 x 1200 pixels",Intel Arc Graphics,2.0,3.2,1.2,0.1,6.5,0.0813
270,HP 14-EW0153TU LAPTOP (13TH GEN CORE I7/ 16GB/ 1TB SSD/ WIN11 HOME),97990.0,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR5x RAM,1 TB SSD,"14 inches, 2880 x 1800 pixels",Intel Integrated Intel Iris Xe,2.0,3.2,1.2,0.1,6.5,0.0663
271,ACER SWIFT GO 14 SFG14-72T LAPTOP (INTEL CORE ULTRA 5 125H/ 16GB/ 512GB SSD/ WIN11 HOME),79799.0,Intel Core Ultra 5 Series 1 125H,"14 Cores (4P + 8E + 2LP-E), 18 Threads",16 GB LPDDR5X RAM,512 GB SSD,"14 inches, 1920 x 1200 pixels",Intel Integrated ARC Graphics,2.0,3.2,1.2,0.1,6.5,0.0815
272,HP SPECTRE X360 16-AA0664TX LAPTOP (INTEL CORE ULTRA 7/ 32GB/ 1TB SSD/ WIN11/ 6GB GRAPH),195990.0,Intel Core Ultra 7 Series 1 155H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",32 GB LPDDR5x RAM,1 TB SSD,"16 inches, 2880 x 1800 pixels, Touch Screen",6 GB NVIDIA GeForce RTX 4050,2.0,6.4,1.8,0.1,10.3,0.0526
273,CHUWI UBOOK X LAPTOP (10TH GEN CORE I3/ 12GB/ 512GB SSD/ WIN11),39990.0,10th Gen Intel Core i5 10210Y,"Quad Core, 8 Threads",12 GB LPDDR3 RAM,512 GB SSD,"12 inches, 2160 x 1440 pixels",Intel UHD Graphics,2.0,2.4,1.2,0.1,5.7,0.1425
274,HP PAVILION 15-EH1047AU LAPTOP (RYZEN 5 5500U/ 16GB/ 1TB SSD/ WIN11 HOME),55990.0,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",16 GB DDR4 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon Graphics,5.2,3.2,1.2,0.1,9.7,0.1732
275,ACER ASPIRE LITE 15 AL15-52 LAPTOP (12TH GEN CORE I3/ 16GB/ 1TB SSD/ WIN11),38249.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",16 GB DDR4 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,2.0,3.2,1.2,0.1,6.5,0.1699
276,HP OMEN 16-XD0010AX GAMING LAPTOP (AMD RYZEN 7 7840HS/ 16GB/ 1TB SSD/ WIN11/ 6GB GRAPH),115999.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,1 TB SSD,"16.1 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 4050,6.8,3.2,1.8,0.1,11.9,0.1026
277,INFINIX INBOOK Y4 MAX SERIES YL613 LAPTOP (13TH GEN CORE I7/ 16GB/ 512GB SSD/ WIN 11 HOME),52990.0,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4X RAM,512 GB SSD,"16 inches, 1920 x 1200 pixels",Intel Integrated Iris Xe,2.0,3.2,1.2,0.1,6.5,0.1227
278,DELL G15-5530 GN5530194YM001ORB1 GAMING LAPTOP (13TH GEN CORE I7/ 16GB/ 1TB SSD/ WIN11/ RTX 3050 6GB GRAPH),101990.0,13th Gen Intel Core i7 13650HX,14 Cores (6P + 8E),16 GB DDR5 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 3050,2.0,3.2,2.16,0.1,7.46,0.0731
279,LENOVO IDEAPAD SLIM 3 15IAH8 83ER008HIN LAPTOP (12TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11 HOME),54990.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB LPDDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated UHD Graphics,2.0,3.2,1.2,0.1,6.5,0.1182
280,LENOVO YOGA SLIM 6 14IRH8 83E00014IN LAPTOP (13TH GEN CORE I7/ 16GB/ 1TB SSD/ WIN11 HOME),91990.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",16 GB LPDDR5 RAM,1 TB SSD,"14 inches, 1920 x 1200 pixels",Intel Integrated Iris Xe,2.0,3.2,1.2,0.1,6.5,0.0707
281,LENOVO IDEAPAD SLIM 3 CHROMEBOOK 14IAN8 83BN001PHA LAPTOP (INTEL PENTIUM N100/ 4GB/ 128GB EMMC/ CHROME OS),28190.0,Intel Pentium N100,"Quad Core, 4 Threads",4 GB LPDDR4X RAM,128 GB Hard Disk,"14 inches, 1366 x 768 pixels",Intel UHD Graphics,1.2,0.8,1.2,0.0,3.2,0.1135
282,LENOVO IDEAPAD SLIM 3 CHROME 14M868 82XJ002LHA LAPTOP (MEDIATEK KOMPANIO 520/ 4GB/ 128GB EMMC/ CHROME OS),15990.0,MediaTek Kompanio 520 Kompanio 520,Octa Core,4 GB LPDDR4X RAM,128 GB Hard Disk,"14 inches, 1366 x 768 pixels",Arm Mali G52 MC2 2EE Graphics,5.2,0.8,1.2,0.0,7.2,0.4503
283,LENOVO IDEAPAD SLIM 3 CHROME 14M868 82XJ002RHA LAPTOP (MEDIATEK KOMPANIO 520/ 8GB/ 128GB EMMC/ CHROME OS),17990.0,MediaTek Kompanio 520 Kompanio 520,Octa Core,8 GB LPDDR4X RAM,128 GB Hard Disk,"14 inches, 1366 x 768 pixels",Arm Mali G52 MC2 2EE Graphics,5.2,1.6,1.2,0.0,8.0,0.4447
284,LENOVO LOQ 15IRX9 83DV007JIN GAMING LAPTOP (13TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11/ 6GB GRAPH),84990.0,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",16 GB DDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 3050,2.0,3.2,2.16,0.1,7.46,0.0878
285,LENOVO IDEAPAD SLIM 3 83EM0026IN LAPTOP (13TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11),59390.0,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB LPDDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Integrated Intel UHD Graphics,2.0,3.2,1.2,0.1,6.5,0.1094
286,LENOVO LOQ 15IRX9 83DV007HIN GAMING LAPTOP (13TH GEN CORE I7/ 16GB/ 512GB SSD/ WIN11/ 6GB GRAPH),99990.0,13th Gen Intel Core i7 13650HX,14 Cores (6P + 8E),16 GB DDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 4050,2.0,3.2,1.8,0.1,7.1,0.071
287,HP PAVILION 15-EH3039AU LAPTOP ( AMD RYZEN 5 7530U/ 16GB/ 512GB SSD/ WIN11 HOME),58500.0,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon Graphics,6.8,3.2,1.2,0.1,11.3,0.1932
288,LENOVO THINKBOOK 14 21KG00AFIN LAPTOP (13TH GEN CORE I3/ 8GB/ 512GB SSD/ WIN 11 HOME),43990.0,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR5 RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",Intel UHD Graphics,2.0,1.6,1.2,0.1,4.9,0.1114
289,ASUS TUF GAMING F17 FX706HF-HX044WS LAPTOP (11TH GEN CORE I5/ 8GB/ 512GB SSD/ WIN11/ 4GB GRAPH),51990.0,11th Gen Intel Core i5 11400H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,"17 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,2.0,1.6,1.2,0.1,4.9,0.0942
290,HP 15S-FR5010TU LAPTOP (12TH GEN CORE I5/8GB/ 512GB SSD/ WIN11 HOME),52500.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,2.0,1.6,1.2,0.1,4.9,0.0933
